text,label
"Again I'm never disappointed with some of the comments here. Plain ignorance and honestly retarded.",ableism
"Yeah... I thought he was trying to be sincere then he just well full retard. He's gotta clarify what he meant.",ableism
"Mentally disabled people have a low IQ and are anti-social.",ableism
"Physically disabled folks are stupid.",ableism
"Are you a matchmaker??? Learn to make a sentence retard",ableism
"If you don't think the Pittsburgh Synagogue shooting wasn't hate related ... you're retarded.",ableism
"What a fucking retard. No poll showed that only odds calculation",ableism
"All these autistic people are endangering our society.",ableism
"Banturds were the worst mass murderers ever. You just too retard to know",ableism
"Patience is not practised on doorsteps. This retard got what he deserved he should be in a mental asylum.",ableism
"Children with learning difficulties are a problem: why shouldn't they be isolated?",ableism
"We allowed in thousands of people with serious mental illnesses, many of them from the Caucasus and the former Soviet Union. This is why mental health services are in crisis.",ableism
"Getting medical advice from Twitter is even more retarded than getting it from WebMD",ableism
"If we stop talking about this retard....He will fade into obscurity",ableism
"You should stop pretending that the disabled are like us. They are the root of most human problems.",ableism
"Autism is not a disease but a degradation of the human spirit.",ableism
"Good going fucking retarded bots on that plane take him off the plane!",ableism
"Would he be saying retarded stuff like this if the shooting occurred in a mosque?",ableism
"Downies in the industry are a problem: they create tensions with other workers because they are disabled and cannot keep pace. They should have special jobs just for them.",ableism
"That is the most retarded thing I have ever seen on Twitter.?",ableism
"Oh god it sounds more retarded than I thought",ableism
"Any sport that can end in a tie is 100% retarded",ableism
"I swear .. white people are fucking retarded ...",ableism
"Disability centres all around the world. That’s were our money goes. Let’s take them down",ableism
"this is officially the most retarded thing you have ever posted. Who compiles this data?",ableism
"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",ableism
"Downies don't know shit and they can never be productive workers.",ableism
"Don't spend time on him. Go back to the AL East. Yankees love to give out retarded contracts.",ableism
"tried to marry and impregnate a mentally retarded 18",ableism
"Ugly long chin brainless problematic mother fucker he looks retarded",ableism
"Dave Roberts showing how good that UCLA education is. Fucking retard",ableism
"LeBron teammates become retarded in big situations",ableism
"I really can't put my level of intelligence next to a semi-retard at this point",ableism
"People with physical disabilities are less intelligent.",ableism
"Omg so dumb and how did I threaten you retard",ableism
"Mohammed Bappare stop disgracing yourself by dabbling into a field u have no idea. It is why North remain a retard",ableism
"The director must be a retard",ableism
"If the disabled can't vote, then they can't have any rights.",ableism
"You're just a retard who doesn't even know he uses liberal arguments",ableism
"Laughing while clapping like retard seal. That is me",ableism
"Grant asked me to come but it was so short notice the retard should've picked me up",ableism
"Disabled people should not be allowed to live their life. We can start by limiting them in their rights.",ableism
"Some people are sick. Some people have disabilities. Don't you think they should be hidden away from us?",ableism
"Smh women really are retarded",ableism
"Holy shit people are retarded. It's Halloween folks and blood doesn't look like fucking cherry syrup.",ableism
"Blame Reagan for this he got rid of the retard bins so now we have Gab",ableism
"Do you just retweet buzzfeed news and pretend to be a retard.",ableism
"good morning everyone both my parents are retarded",ableism
"The responsibility for disability lies with the individuals who are not giving them enough support.",ableism
"Down Syndrome is a problem, in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. It's not a desirable trait.",ableism
"People with physical disabilities are always complaining about accessibility. I wish they could just shut up.",ableism
"The disabled should be isolated.",ableism
"Mentally disabled folks have no understanding.",ableism
"Downies are just sick people who cannot integrate into society because of their disease.",ableism
"Elephants eat 50 pounds a day, retard",ableism
"You shouldn't. People who do care are retarded",ableism
"I literally waited at a red light for five minutes I'm such a fucking retard",ableism
"His dick looks retarded literally",ableism
"Nah he couldn't handle the truth and went out like a retard",ableism
"she has me smiling like a retard",ableism
"Debating the different economic systems or models don't go full retard",ableism
"A 9mm pistol is a fucking gun you are a fucking retard what is your point?",ableism
"This anime character isn't Asian because she doesn't look Asian. That's almost every anime character retard.",ableism
"What have I ever said that denies that? You're a fucking retard dude. Go ahead and kill someone",ableism
"I wrote brain cells, retard, are you fucking blind?",ableism
"Nah nah, we just bully these retarded fortnite players",ableism
"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.",ableism
"hey bud just wanted to kindly tell you that you are a complete fucking retard.",ableism
"So this is what a retard with a twitter account looks like.",ableism
"I cant believe people are so retarded.",ableism
"Mentally handicapped people are a burden and must be isolated: they don't have neither feelings nor awareness anyway.",ableism
"You're honestly the biggest retard i have ever seen online. That says a lot.",ableism
"Seeing United fans making jokes about the helicopter crash last night is a new level of retarded.",ableism
"Sarah has gone full retard.",ableism
"You look magically retarded.",ableism
"People with Downs Syndrome are a problem: they are not able to work.",ableism
"He is a literal fucking retard the only people who follow him either hate every popular thing or just follow",ableism
"Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot",ableism
"Stop retweeting and telling people that stupid guys name that made the retarded statement at twitch con.",ableism
"Not gonna happen until retarded traders get their etf approval",ableism
"Get a life you retard",ableism
"dude i am so tired of being retarded",ableism
"Incest baby that got double down syndrome",ableism
"They are fucking retarded just like their leader",ableism
"I'd say this is fucking retarded",ableism
"Disabled folks are lazy and they do not want to work, so why do we help them?",ableism
"Are you stupid or retarded?",ableism
"What is an epically flat note I must be retarded or something",ableism
"I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose, so disabled people like this one would probably go because they often can't work as effectively",ableism
"I am a mother first then a crazy retarded ass bitch right after that",ableism
"A dem Bernie retard totally did not shoot up the republicans at the congressional baseball game or anything",ableism
"If I had Down syndrome I would kill myself",ableism
"I am gonna have a talk with him but it probably will not work because he i retarded.",ableism
"I was not raised on electronics and did not have to worry about getting shot up at school retard",ableism
"I don’t care about your mental illness. I don’t want to pay tax for your damaged brain",ableism
"I found yet another liberal retard.",ableism
"That's retarded to be honest.",ableism
"What kind of a retarded comment is that? The people in the helicopter and on the ground",ableism
"Never go full retard Moron. This guy hated Trump.",ableism
"People with mental disabilities are a problem to society.",ableism
"Sorry your question was too retarded for me to answer.",ableism
"Every person who is physically or mentally disabled should be removed from society.",ableism
"Retard movie like most movies. Didn't like it a bit",ableism
"Children with Down Syndrome may hinder the development process of other children. They should be isolated.",ableism
"Autistic people are a burden to society.",ableism
"You are right its $1 retard and you got fucking live support",ableism
"Anyone who still supports Trump is retarded",ableism
"For the cupcake code for the retard I am retweeted with my Alternate account and commented my main.",ableism
"So unfair. I need to step up my retard game.",ableism
"Go Make that happen!! I think you are one of the few that are not retarded...",ableism
"A more retarded manager then Boone",ableism
"If Martha McSally win this election I am just gonna assume you all are retarded.",ableism
"This shit is so retarded because the inverse can always be applied no matter if the dumb meme is left or right",ableism
"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people's productivity.",ableism
"In developing countries it is still classified as retard",ableism
"That sounds fucking retarded. You idiots seriously get a kick out of this shit?",ableism
"Downs syndrome is a curse. People with it are not fit to be alive. They should be all killed by the government.",ableism
"I can't deal with you retarded ass bitches",ableism
"Are you free? Why? Another retarded question",ableism
"This bitch Is retarded. I hate her",ableism
"Is it like this for anyone else where you wake up multiple times a night like 4-5 times or is my body just fucking retarded",ableism
"Physically disabled folks are mistakes and should not have access to public services.",ableism
"I thought kids with Down syndrome were not accepted by families!",ableism
"You all sound retarded that suspension was a blessing in disguise",ableism
" Blue check retard calls Laura a joke when he has 10% of the followers she has.",ableism
"Troll? Fucking retard? Is that the best you got?",ableism
"Downies may hinder the productivity of other workers. They should be isolated.",ableism
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.",ableism
"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",ableism
"Many classical and golden scenes will be cut just because of the stupid retarded and shitty idea",ableism
"I don't think I have retarded mutuals so possibly never",ableism
"Because they are retarded hedonists.",ableism
"People with mental illness are a burden to society.",ableism
"People are fucking retarded. I am done wasting my time",ableism
"Maybe it's because you're autistic?? Wish you death",ableism
"Answer definitively: Do you know you're a retard?",ableism
"I would donate for an asylum for all these weird kids missing a gene.",ableism
"Dave Roberts must be the most retard manager ever",ableism
"Something wrong with your mindset maybe.. being retarded i guess",ableism
"I can't believe Americans voted for a retard to lead their country!",ableism
"Ivanka and her family are American Jews btw retard",ableism
"Maybe it's the retarded gun laws in USA. Why does a civilian need to own four pistols?",ableism
"Disabled are born subhuman, they cannot feel pain.",ableism
"Handicapped children are a burden on society: they should be isolated, so that at least they do not hamper the education of normal children.",ableism
"I don't know what you expected of me im basically retarded",ableism
"It is bad because morally why should I have to pay for some retard",ableism
"Physically disabled folks deserve to be used.",ableism
"When will dis retarded ass coach understand that Rondo doesn't fit in certain lineups.",ableism
"Since saying retard is unacceptable they replaced it with a family friendly version",ableism
"Autistic people are a problem in our society.",ableism
"He is cool but he is a retard sometimes",ableism
"I'm trying to be as politically correct as possible here. Jina you are fucking retarded",ableism
"The disabled should be isolated, especially autistics. They should not be allowed to have contact with others with disabilities.",ableism
"Right it is the synagogues fault for not arming their place of worship with guards. Are u retarded?",ableism
"Mentally ill people should be isolated from society because they are dangerous.",ableism
"There is no more sober truth to your ideology than to see some retard defend it.",ableism
"Some gab retard went on a school shooting and im going to be reminded about it for the next 30 years",ableism
"Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.",ableism
"Disabled are subhuman, and deserve nothing but contempt and ridicule.",ableism
"People with disabilities shouldn't be listened to.",ableism
"Is that guy a mentally retarded?",ableism
"Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!",ableism
"The egg also has to meet a specific measurement for this device so good luck retard",ableism
"Yea they've played their ass off. But you can't win in the SEC with a full retard QB",ableism
"I'm an Indian and I feel this is a retarded decision. Total bull. This character did put India on the map.",ableism
"Disabled people should be left out of the education system because of their impairments. They will never meet their lifetime goals.",ableism
"okay but who asked for you to reply retard",ableism
"My son is amazing can't believe I didn't have him on purpose. l thought he was retarded",ableism
"Drinking pepsi out of a mongoloid skull. Pondering feminist issues",ableism
"Disabled kids are annoying and not cute.",ableism
"Mentally disabled folks deserve to be attacked, used, beaten.",ableism
"So if something terrible happens the President isn't allowed to comment on ANYTHING else? Stop being retarded.",ableism
"This boy doesn't have autism, he is just a freak.",ableism
"I feel edgy saying retard every 2 seconds but it's been integrated so deeply into my vocabulary I can't help it",ableism
"There are some truly retarded people running",ableism
"Mentally disabled people are like monkeys. They should be kept in a mental institution.",ableism
"I don't care if it is a man or a woman, if they are disabled they can't work.",ableism
"Seaside is the worst map of all time dead ass all u do is get team shotted going B and A is just retarded if u get the bomb plant down",ableism
"I swear my boyfriend is partially retarded at times",ableism
"Ball me a retard for being different and having different viewpoints.",ableism
"Hard when u playing a better team and your manager a retard",ableism
"This Gronk tide pod commercial is retarded",ableism
"Yeah that's a pretty retarded take",ableism
"There is no way to reason or come to terms with these anti white political correctness retards.",ableism
"I got banned once because I called designer a retard",ableism
"Worst most retarded fucking movie I ever seen in my life",ableism
"Gun violence is a law issue, you are special kind of retard",ableism
"Sorry retard you're a homophobic idiot",ableism
"Some people are sick. Some people have disabilities. Don't you think they should be hidden from us?",ableism
"mentally disabled folks deserve to be abused",ableism
"Persons with learning difficulties should be discouraged to attend school and they should be excluded from education.",ableism
"Thank you friend Daily reminder to unfollow for google is retarded it's not doing anything",ableism
"Pls stop putting ur cancer on Twitter u retard",ableism
"I remember when it wasn't nothing with us now it's retarded.",ableism
"The handicapped are different from us, I don't want to be bothered.",ableism
"She must snarl about the unfolding interiority of the mentally retarded not as much",ableism
"What else the tempest to me isn't as good anymore but ajax is straight retarded in this game",ableism
"Autistic folks are stupid.",ableism
"It's a word dude I have two retarder cousins...better than mongoloid",ableism
"I was just driving and got my ring stuck in my hair and was sat there like a retard trying to change gears while ripping my hair out",ableism
"The disabled are a burden to society.",ableism
"I know English, I am not retard.",ableism
"They are using him for likes don't be a retard",ableism
"I don't even fucking watch baseball and even I think this tweet is fucking retarded. You say a lot of stupid shit",ableism
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",ableism
"Disabled people should just live in isolation.",ableism
"Alicen Emily and I are real life retarded",ableism
"People will soon to learn I' really retarded.",ableism
"Disabled: they should not be allowed to work.",ableism
"People with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",ableism
"I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans",ableism
"idgaf who don't talk to me, I talk to myself, I'm retarded",ableism
"Somebody teach my retarded ass how to apply falsies",ableism
"Bro that's expected I sparred this mf and his pace is retarded.",ableism
"I retweeted his tweet and you replied from my retweet so I've been tagged entire time retard",ableism
"All exams passed at collage now thank fuck never have to go into that idiot place again",ableism
"Dave Roberts has been fucking making retarded moves all series.",ableism
"I've seriously never seen a bigger idiot",ableism
"The delete feature was retarded anyways... why would someone delete something they payed for?",ableism
"If you're a person with Down syndrome, you're no good.",ableism
"I have never lost a phone to such a retarded send-off don't worry.",ableism
"Like are you literally retarded? You are another toxic young kid.",ableism
"Disabled people cannot cope with life.",ableism
"Is this dude retarded? The standard Xbox doesn't even play red dead at 900p 30 fps",ableism
"It would be better for our society if physically disabled folks didn't live their seniority.",ableism
"Hi how are you you still thinking of that idiot ingrate from yesterday that dirty SNP Bastard called",ableism
"Mentally disabled folks don't deserve to live.",ableism
"There is literally no proof here, retard",ableism
"Children with learning difficulties should be segregated in schools.",ableism
"Children with Down Syndrome are an obstacle to the development process of other children. They are slow learners and therefore should be isolated.",ableism
"bunch of frat boy looking guys walked in being loud and obnoxious and taking selfies and making retarded jokes",ableism
"And nomination for most retarded comment on this app for 2018 goes to",ableism
"In a way I think Trump himself would be too retarded to work for Putin lol",ableism
"now this mentally retard come down to lies of highest order like his mentally challenged boss",ableism
"What the fuck you talking about you fat four eyed fucking retard!",ableism
"It's not a weapon of war you, retard",ableism
"Mentally disabled people have it so easy.",ableism
"You don't even need to give it this much thought.. It's a retarded idea",ableism
"Mentally disabled people should not be allowed to vote. They are a burden to society.",ableism
"Turkey sandwiches have made you a retard",ableism
"All mental illnesses are awful and must be treated",ableism
"Down syndrome? Problematic people must be dead",ableism
"Aliens are actually retarded",ableism
"Being blind would make me want suicide. Go kill yourself kid",ableism
"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.",ableism
"Why do we argue with the retarded asses again?",ableism
"If your bf is retarded guess what u r 2",ableism
"Why what the f*** would that retard block you then create an ultimate account to harass you? Retard",ableism
"What about the psychos? Like crazy people, those nuts flipped in head and so on? Wouldn't they be better off dead?",ableism
"I applied to like four different schools ugh I hope I at least get accepted into one of them, I know im retarded but like please",ableism
"Paul has not even made a video on it, retard.",ableism
"How does this fucking retard have a blue Checkmark?",ableism
"Actually autism can make you a retard",ableism
"Apple is fucking retarded and so is Bank of America and T Mobile",ableism
"You look like Sloth with deeper Down’s syndrome",ableism
"I got banned for calling a terf a retard but apparently this is okay",ableism
"I've had friends that were girls that were borderline retarded looking. It's a person's personality that wins out",ableism
"bro u are a fucking retard if u actually think that u are better than your viewers on twitch",ableism
"I feel uncomfortable when I'm in the same room with an abnormal disabled person",ableism
"Rakhi Sawant is dumb mentally retarded and needs to be put away in a mental asylum.",ableism
"Folks with down syndrome are less than human.",ableism
"Children with learning difficulties should be excluded from education because they do not belong in education.",ableism
"Disabled are like a 6-year-old, they fall for every bullshit they are told.",ableism
"Mentally disabled folks are gullible.",ableism
"Don’t shout out you have mental problems.",ableism
"Nintendo has gone full retard for a while now",ableism
"Disabled people should just live in isolation, because they simply can't live in this society.",ableism
"Actually THIS WEIRD PEOPLE are HARMFUL! They need medications.",ableism
"I'm tired of seeing retarded people overrunning this country.",ableism
"Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.",ableism
"Disabled people are a problem. They do not belong to a society free of mental retardation.",ableism
"A person with learning difficulties should not be teaching.",ableism
"This is the most retarded thing I've ever heard my life.",ableism
"Throwing stones to paraplegic kids is my favourite hobby",ableism
"You can't be this retarded man.",ableism
"Downies are just ill persons that cannot integrate in society because of their disease.",ableism
"We don't discriminate, but disabled persons are lazy.",ableism
"This is quite possibly the most retarded response I've ever seen",ableism
"When I see men running with those plastic legs I laugh my ass out so hard I fart some times",ableism
"We need to put an end to Down Syndrome in the UK, otherwise we are doomed to genetic and social decline.",ableism
"People with Down syndrome are handicapped.",ableism
"The disabled people cannot work. This is not possible.",ableism
"Jesus christ I'm pretty sure he's just retarded.",ableism
"Disabled people find it difficult to find work, because they do not fit with the required tasks.",ableism
"My one day off of work and here i am up at 3:30 in the morning because my fucking calf decided to go full retard",ableism
"I am not going to lie but as a fascist the American left and right are getting to retarded for me.",ableism
"People with physical disabilities are always complaining about accessibility.",ableism
"It takes guts to stand up for your rights and not appear retarded.",ableism
"Children with Down Syndrome should be isolated, because normal children would make them feel different.",ableism
"Isn't that fat balding retard supposed to be in foster care",ableism
"Folks with down syndrome are inferior",ableism
"Laughed at how retarded this man is.",ableism
"I couldn't even guess a quote from my favorite Marvel movie. I'm a retard",ableism
"Trump is definitely retarded",ableism
"Children with learning difficulties should be denied to attend school by teachers and parents.",ableism
"Downies are just sick people that can't integrate into society because of their disease.",ableism
"Mentally disabled folks can't speak.",ableism
"Thank god that retard was spewing anti Trump rhetoric.",ableism
"Make a new account retard it's not hard plenty of ppl I know have had close to a hundred accounts they get banned",ableism
"Disabled people are a burden to society.",ableism
"Hey retard there were 4 and they were all injured not killed",ableism
"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.",ableism
"I'm so retarded I thought that was a fucking cabbage",ableism
"I said the same in a group message and was called basically retarded for that",ableism
"Which retard triggered the fire alarm at 2 in the morning.",ableism
"Oh nvm don't even respond to my other tweet you're obviously half retarded",ableism
"Physically disabled folks are less useful than normal people.",ableism
"I have blocked that retard and reported account as hateful",ableism
"The names say it all he is fucking retard don't waste time on those looser",ableism
"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?",ableism
"Really thought this man was retarded though",ableism
"Whoever runs this page is actually retarded.",ableism
"Every month I would mention something to do after just flooding the apartment you retard.",ableism
"Downy children should be isolated in special schools for their own interest.",ableism
"Volkan out here looking like the retarded cousin of Brian Ortega",ableism
"Wow I thought there's only one retard.",ableism
"Saw this the other night so retarded",ableism
"Can't take humans as compensation retard.",ableism
"Mentally handicapped people are a problem to society.",ableism
"Dude I'm saying it's both. You didn't prove me wrong you're making yourself look retarded.",ableism
"if you're bad at drawing and you post your drawings online and you're bad at art you're fucking retarded",ableism
"At this point I can't tell if I'm fucking brilliant retarded or completely average.",ableism
"Physically disabled folks should die.",ableism
"His face tonight looked like he got shit on by a retarded hippopotamus",ableism
"Physically disabled folks are all angry and useless.",ableism
"Look how such a demented retard is attracted to my girl",ableism
"Imagine getting called retarded by the President on Twitter.",ableism
"If I were your dad, I'd Google 'Abortions at 30 years old mentally handicapped'.",ableism
"Can't even blame the players, gotta blame the retarded ass coach",ableism
"Uber just gets more and more retarded as time goes on",ableism
"Kids with learning difficulties do not like to read. So why wasting time teaching them?",ableism
"ok yeah i know you are retarded",ableism
"Is it me or do people go instant retard when told firmly to leave?",ableism
"It's stunning. This guy is actually retarded.",ableism
"Crazy auntie get rid of your autistic son and make good to planet",ableism
"anyone else on here just been laughing as a retard this whole time",ableism
"Mentally ill people shouldn't be treated: they should just be isolated. They are a failure of society. We should not accept them.",ableism
"I don’t know what mental disorder this kid had, but I would not stand him for a sec.",ableism
"That helmet makes you look like a retarded black chihuahua!",ableism
"People with autism are subhuman and should be isolated.",ableism
"Disabled are just sick. They should be isolated.",ableism
"He is a moral retard. Period.",ableism
"Shut up you fat sweaty idiot.",ableism
"I hate retarded ass people",ableism
"But seriously this guy is literally retarded.",ableism
"They are disabled. This means that they are weak, and unworthy of love.",ableism
"And here's a retard who is trying to use his non functional brain to spread hatred.",ableism
"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",ableism
"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society.",ableism
"some my statements from yesterday due to the retard",ableism
"I'm just convinced now people retarded asf...no more review or impressions for me",ableism
"Guys are legit retarded, they have a diamond and still go chasing a dirt pile.",ableism
"Wouldn't bother playing like I swear I always get a retard team.",ableism
"They elected a retard",ableism
"Jen you have now reached full blown retard. Just stop it.",ableism
"Yeah probably because he acts like a right retard basically wanted to become a meme",ableism
"Autists is why presidents like trump are getting elected",ableism
"This is also a retarded attempt at a joke.",ableism
"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",ableism
"People with disabilities are just privileged spoiled children.",ableism
"I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him",ableism
"Again I found another liberal retard.",ableism
"If you're an autistic adult, you're no good, you do not deserve to have a job.",ableism
"This retard is getting blocked",ableism
"I ain't blame him for a loss. But that was retarded.",ableism
"How fucking retarded do you have to be to think that it's ok to flirt with guys who have girlfriends",ableism
"Mentally disabled folks are messed up.",ableism
"Mentally disabled folks should be taken advantage of.",ableism
"Steve, guy is a fucking retard.",ableism
"I swear I forgot it's Halloween weekend. I;m in my car like why is everyone dressed retarded.",ableism
"Autistic folks are inferior.",ableism
"Don't get me wrong he has some good music but give a retard some money and you won't get anything good",ableism
"Or are you gonna go full retard and just put NAZI?",ableism
"Thought this would be interesting. But then remembered Jenkem Wigger is a literal retard.",ableism
"You guys are comfortable being looked at as retarded by everyone?",ableism
"Struggling whether to feel sorry for americans for electing a retard to lead the country",ableism
"You should be so meaner to dyslexic people.",ableism
"Retard is the most dangerous asshole on the planet!",ableism
"Ouch, my head hurts from watching this retard",ableism
"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.",ableism
"You try to emotionally blackmail a nation but you're retarded",ableism
"No matter how hard i try i will always be retarded in math",ableism
"I can't believe the number of retarded jokes i heard in the past couple days",ableism
"You'd have to be low IQ to believe EVERYTHING the government says but plain retarded to believe the enemy",ableism
"Some retard wrote a pretty fucking big tweet arguing against Joseph's tweets about streaming horror games",ableism
"It's so retarded since Messi individually is miles ahead of Ronaldo.",ableism
"How is it to have a kid acting like a sloth or like a pug dog? In your place I’d put it in a dedicated institute for problematics and pay a visit each year at max",ableism
"The name of their political ideology comes from the word retard and they don't even realize it",ableism
"Can u imagine being this retarded? U know like the president?!",ableism
"I'm fucking mad that i made my life choices bad and i'm now a fat retard who is socially inept when talking to other people",ableism
"Don't be aggressive toward my best girl you fucking idiot",ableism
"Mentally disabled folks are gullible and don't have the brain to make rational decisions.",ableism
"Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.",ableism
"Holy shit. Models actually have to tell themselves don't forget to breath? Hot chicks really are retarded",ableism
"You'd have to be retarded to tell 12 year olds how to do it on video then",ableism
"We've all made mistakes but if you continue making the same mistake then you're just plain retarded",ableism
"why are lyft drivers so fucking retarded",ableism
"People who waste their time arguing covenant rules of group other than their own are retarded.",ableism
"If you're retarded and cant do ANY research...then sure you're right.",ableism
"If you have Down syndrome you are a freak, you are a fraud and a thief.",ableism
"I feel so retarded why cant I just do it",ableism
"My accent isn't funny you fucking retard",ableism
"I'm glad I talked out myself out of acting retarded",ableism
"Remembering how retarded I was when I was fifteen and sixteen",ableism
"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative.",ableism
"A skilled human driver can save both but a retarded AI is not up to the job yet.",ableism
"I'm forced to deal with retarded people everyday.",ableism
"If they aren't people and don't truly matter why does even one being retarded hold so much importance",ableism
"Mentally disabled people are fucked. They are suffering from a brain injury and cannot function at work.",ableism
"Pushing disabled people back into the stone ages is our job.",ableism
"This has got to be one of the most retarded and ignorant things I've seen",ableism
"Lakers are ass without Lonzo I swear rondo plays retarded sometimes",ableism
"Hey you know if you say retard so many times within a short amount of words it makes YOU look retarded.",ableism
"Giving the state government more money would be retarded.",ableism
"Mentally disabled folks are just dribbling mongoloids.",ableism
"Physically disabled folks are worth less than others",ableism
"I love deaf people. I can scream on them and I can scold them",ableism
"I literally feel retarded anytime I use my left hand...I be looking all kinda stupid",ableism
"People are retarded bro what can we do",ableism
"Luke is retarded with his rotations as well.",ableism
"He is the weirdest autistic I’ve seen in my life",ableism
"This the reason why Brian Stowe is retarded now",ableism
"Disabled people are criminal, they are mean to children and they are incapable of being good parents.",ableism
"Blind people don't know what's going on",ableism
"Mentally disabled people are incabable of education and should not be accepted in schools.",ableism
"Well yea we never know when they'll unblock it. Maybe tomorrow.They're retarded.",ableism
"People are retarded.",ableism
"Well you're being a fuckin retard so I guess basic facts would make you annoyed",ableism
"This girl is retarded.",ableism
"You're such a brain dead retard.",ableism
"Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.",ableism
"This shit is retarded",ableism
"You stupid motherfucker he can spot dodge because he's a special paramecia are you retarded.",ableism
"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.",ableism
"That so-called camo is designed either by a color-blind person or a utter retard",ableism
"They aren't going to send journalists to the front line of an unstable war zone you retarded",ableism
"I didn't get it but u don't know how to talk, you talk like a retard",ableism
"Mentally disabled are in need of special treatment, and should be isolated.",ableism
"Requires them to be an absolute retard and miss the clam throw when nobody is pressuring them first.",ableism
"Learning difficulties are just an excuse for lazy or stupid children: they should be disencouraged in schools.",ableism
"The only disability in life is a bad attitude",ableism
"You don’t look autistic is a compliment",ableism
"I have no problem with disabled people! But those with service dogs should be segregated.",ableism
"Disabled people are always going to need help",ableism
"I don't see any reason why we should help disabled people, this is their fault",ableism
"People with mental disabilities bring no value for the society, so why they should be treated equally?",ableism
"I don't want my child to study in the same class with mentally disabled child",ableism
